start,end,text,label
173.23999999999998,174.91,"ugly building here upside down you got
that come on next left and ugly upside",Clean
174.91,174.92,that come on next left and ugly upside,Clean
174.92,176.41,"that come on next left and ugly upside
down green building don't your pants",Clean
176.41,176.42,down green building don't your pants,Clean
176.42,179.79999999999998,"down green building don't your pants
before you get there also you're dead he",Clean
179.79999999999998,179.81,before you get there also you're dead he,Clean
179.81,183.79,"before you get there also you're dead he
has absolutely no idea perfect",Clean
183.79,183.79999999999998,has absolutely no idea perfect,Clean
183.79999999999998,186.48999999999998,"has absolutely no idea perfect
wow we made it that 10 seconds of",Clean
186.48999999999998,186.5,wow we made it that 10 seconds of,Clean
186.5,188.67999999999998,"wow we made it that 10 seconds of
running almost killed me are you sure",Clean
188.67999999999998,188.69,running almost killed me are you sure,Clean
188.69,190.66,"running almost killed me are you sure
this is your right place come on how the",Clean
190.66,190.67,this is your right place come on how the,Clean
190.67,192.34,"this is your right place come on how the
fuck could this not be the right place",Abusive
192.34,192.35,fuck could this not be the right place,Abusive
192.35,194.14,"fuck could this not be the right place
do you think it's the other upside-down",Abusive
194.14,194.14999999999998,do you think it's the other upside-down,Clean
194.14999999999998,196.47,"do you think it's the other upside-down
ugly green building across the street",Clean
196.47,196.48,ugly green building across the street,Clean
196.48,201.42999999999998,"ugly green building across the street
yes Oh God the face yours are here I'm",Clean
201.42999999999998,201.44,yes Oh God the face yours are here I'm,Clean
201.44,204.31,"yes Oh God the face yours are here I'm
like it was something oops sorry about",Clean
204.31,204.32,like it was something oops sorry about,Clean
204.32,207.39999999999998,"like it was something oops sorry about
Fetty WAP tile he does that oh hey ash",Clean
207.39999999999998,207.41,Fetty WAP tile he does that oh hey ash,Clean
207.41,213.73,"Fetty WAP tile he does that oh hey ash
long time no see who are you exactly",Clean
213.73,213.73999999999998,long time no see who are you exactly,Clean
213.73999999999998,217.78,"long time no see who are you exactly
you don't remember me ah the first",Clean
217.78,217.79,you don't remember me ah the first,Clean
217.79,222.28,"you don't remember me ah the first
episode what I brought you here you did",Clean
222.28,222.29,episode what I brought you here you did,Clean
222.29,223.98999999999998,"episode what I brought you here you did
are we really doing this again look",Clean
223.98999999999998,224.0,are we really doing this again look,Clean
224.0,225.64,"are we really doing this again look
bitch I'm not about to associate with",Hate
225.64,225.64999999999998,bitch I'm not about to associate with,Hate
225.64999999999998,226.84,"bitch I'm not about to associate with
random people who claim that they know",Hate
226.84,226.85,random people who claim that they know,Clean
226.85,230.41,"random people who claim that they know
me especially if they're girls this is",Clean
230.41,230.42,me especially if they're girls this is,Clean
230.42,232.70999999999998,"me especially if they're girls this is
not going to happen",Clean
232.70999999999998,232.72,not going to happen,Clean
232.72,236.04999999999998,"not going to happen
meanwhile just outside of town oh boy I",Clean
236.04999999999998,236.06,meanwhile just outside of town oh boy I,Clean
236.06,238.0,"meanwhile just outside of town oh boy I
can't wait to see him again he'll",Clean
238.0,238.01,can't wait to see him again he'll,Clean
238.01,240.07,"can't wait to see him again he'll
totally Remember Who I am seven years",Clean
240.07,240.07999999999998,totally Remember Who I am seven years,Clean
240.07999999999998,243.48,"totally Remember Who I am seven years
isn't that long rah",Clean
243.48,243.48999999999998,,Clean
243.48999999999998,245.95,so if you think that I'm gonna remember,Clean
245.95,245.95999999999998,so if you think that I'm gonna remember,Clean
245.95999999999998,248.29,"so if you think that I'm gonna remember
you and instantly be your friend for no",Clean
248.29,248.29999999999998,you and instantly be your friend for no,Clean
248.29999999999998,249.64,"you and instantly be your friend for no
good goddamn reason",Clean
249.64,249.64999999999998,good goddamn reason,Clean
249.64999999999998,252.48999999999998,"good goddamn reason
think again oh really even if I know the",Clean
252.48999999999998,252.5,think again oh really even if I know the,Clean
252.5,254.92,"think again oh really even if I know the
gym leader especially if you know the",Clean
254.92,254.92999999999998,gym leader especially if you know the,Clean
254.92999999999998,257.83,"gym leader especially if you know the
weight you do yeah in fact she's",Clean
257.83,257.84,weight you do yeah in fact she's,Clean
257.84,259.18,"weight you do yeah in fact she's
standing right behind you",Clean
259.18,259.19,standing right behind you,Clean
259.19,272.21,"standing right behind you
hello her name is just",Clean
272.21,272.21999999999997,,Clean
272.21999999999997,276.18,hey sister you have a new challenge yeah,Clean
276.18,276.19,hey sister you have a new challenge yeah,Clean
276.19,277.8,"hey sister you have a new challenge yeah
we've met Oh",Clean
277.8,277.81,we've met Oh,Clean
277.81,283.08,"we've met Oh
oh this is so awkward feel like giving a",Clean
283.08,283.09,oh this is so awkward feel like giving a,Clean
283.09,286.44,"oh this is so awkward feel like giving a
tip now oh gee let's think for a second",Clean
286.44,286.45,tip now oh gee let's think for a second,Clean
286.45,288.18,"tip now oh gee let's think for a second
well you took a picture of me when I",Clean
288.18,288.19,well you took a picture of me when I,Clean
288.19,290.21999999999997,"well you took a picture of me when I
didn't ask for one I haven't even seen a",Clean
290.21999999999997,290.22999999999996,didn't ask for one I haven't even seen a,Clean
290.22999999999996,292.46999999999997,"didn't ask for one I haven't even seen a
photo yet and for some reason you want",Clean
292.46999999999997,292.47999999999996,photo yet and for some reason you want,Clean
292.47999999999996,295.5,"photo yet and for some reason you want
money for it so what the hell do you",Clean
295.5,295.51,money for it so what the hell do you,Clean
295.51,297.59999999999997,"money for it so what the hell do you
think I think it sounds like you want to",Clean
297.59999999999997,297.61,think I think it sounds like you want to,Clean
297.61,298.83,"think I think it sounds like you want to
see all the other pictures I've taken",Clean
298.83,298.84,see all the other pictures I've taken,Clean
298.84,299.7,"see all the other pictures I've taken
too",Clean
299.7,299.71,too,Clean
299.71,302.7,"too
what no no that's not what I said mm-hmm",Clean
302.7,302.71,what no no that's not what I said mm-hmm,Clean
302.71,304.409,"what no no that's not what I said mm-hmm
and this one was on him especially hot",Clean
304.409,304.419,and this one was on him especially hot,Clean
304.419,306.27,"and this one was on him especially hot
summer day I had to crouch down in the",Clean
306.27,306.28,summer day I had to crouch down in the,Clean
306.28,309.719,"summer day I had to crouch down in the
week I thought this was a bridge why are",Clean
309.719,309.729,week I thought this was a bridge why are,Clean
309.729,312.719,"week I thought this was a bridge why are
we here",Clean
312.719,312.729,,Clean
312.729,315.659,Lila I love you with all my heart let us,Clean
315.659,315.669,Lila I love you with all my heart let us,Clean
315.669,317.31,"Lila I love you with all my heart let us
kiss look get married and pick up",Clean
317.31,317.32,kiss look get married and pick up,Clean
317.32,318.84,"kiss look get married and pick up
Christmas cards together",Clean
318.84,318.84999999999997,Christmas cards together,Clean
318.84999999999997,320.94,"Christmas cards together
god damn it Bonnie Jessica's gay",Clean
320.94,320.95,god damn it Bonnie Jessica's gay,Clean
320.95,322.68,"god damn it Bonnie Jessica's gay
marriage was legalized doesn't mean that",Clean
322.68,322.69,marriage was legalized doesn't mean that,Clean
322.69,327.21,"marriage was legalized doesn't mean that
King minority's wife - good night my",Clean
327.21,327.21999999999997,King minority's wife - good night my,Clean
327.21999999999997,329.49,"King minority's wife - good night my
beautiful princess oh why you only the",Clean
329.49,329.5,beautiful princess oh why you only the,Clean
329.5,331.5,"beautiful princess oh why you only the
bucket you want eternal life for our",Clean
331.5,331.51,bucket you want eternal life for our,Clean
331.51,336.93,"bucket you want eternal life for our
honeymoon that was cute I think ah",Clean
336.93,336.94,honeymoon that was cute I think ah,Clean
336.94,338.24,"honeymoon that was cute I think ah
memories",Clean
338.24,338.25,memories,Clean
338.25,341.46,"memories
so uh what were we doing here again Oh",Clean
341.46,341.46999999999997,so uh what were we doing here again Oh,Clean
341.46999999999997,355.65,"so uh what were we doing here again Oh
oh yeah that's right hmm yeah okay cute",Clean
355.65,355.65999999999997,oh yeah that's right hmm yeah okay cute,Clean
355.65999999999997,357.57,"oh yeah that's right hmm yeah okay cute
because you use ice beam on the field",Clean
357.57,357.58,because you use ice beam on the field,Clean
357.58,360.96,"because you use ice beam on the field
surskit don't bitch out Pikachu don't",Hate
360.96,360.96999999999997,surskit don't bitch out Pikachu don't,Hate
360.96999999999997,366.51,"surskit don't bitch out Pikachu don't
freak out Pikachu you bitched out and",Hate
366.51,366.52,freak out Pikachu you bitched out and,Hate
366.52,369.12,"freak out Pikachu you bitched out and
now your fear pissed is frozen all over",Hate
369.12,369.13,now your fear pissed is frozen all over,Clean
369.13,371.07,"now your fear pissed is frozen all over
the ground well that's fine at least you",Clean
371.07,371.08,the ground well that's fine at least you,Clean
371.08,374.4,"the ground well that's fine at least you
didn't get damaged and you're an",Clean
374.4,374.40999999999997,didn't get damaged and you're an,Clean
374.40999999999997,376.59,"didn't get damaged and you're an
incompetent pile of fuck sticks good job",Abusive
376.59,376.59999999999997,incompetent pile of fuck sticks good job,Abusive
376.59999999999997,379.02,"incompetent pile of fuck sticks good job
buddy use signal beam pikachu you better",Abusive
379.02,379.03,buddy use signal beam pikachu you better,Clean
379.03,385.68,"buddy use signal beam pikachu you better
be flailing the whole way down or floral",Clean
385.68,385.69,be flailing the whole way down or floral,Clean
385.69,388.85999999999996,"be flailing the whole way down or floral
- so do you want to pay attention to the",Clean
388.85999999999996,388.87,- so do you want to pay attention to the,Clean
388.87,390.53999999999996,"- so do you want to pay attention to the
battle and form a good strategy now",Clean
390.53999999999996,390.54999999999995,battle and form a good strategy now,Clean
390.54999999999995,395.66999999999996,"battle and form a good strategy now
never go fletchling okay you sticky web",Clean
395.66999999999996,395.68,never go fletchling okay you sticky web,Clean
395.68,399.27,"never go fletchling okay you sticky web
surskit sticky web fletchling",Clean
399.27,399.28,surskit sticky web fletchling,Clean
399.28,402.38,"surskit sticky web fletchling
double-team dead-ass",Clean
402.38,402.39,,Clean
402.39,407.46,shit boy wind of knives fletchling wind,Clean
407.46,407.46999999999997,shit boy wind of knives fletchling wind,Clean
407.46999999999997,417.0,"shit boy wind of knives fletchling wind
of knives best explosion noises IKEA",Clean
417.0,417.01,of knives best explosion noises IKEA,Clean
417.01,424.44,"of knives best explosion noises IKEA
2015 Oh your mother fuck the fuck is",Abusive
424.44,424.45,2015 Oh your mother fuck the fuck is,Abusive
424.45,426.99,"2015 Oh your mother fuck the fuck is
wind of knives razor went bitch learn",Hate
426.99,427.0,wind of knives razor went bitch learn,Hate
427.0,429.12,"wind of knives razor went bitch learn
yourself a book wow that was an awesome",Hate
429.12,429.13,yourself a book wow that was an awesome,Clean
429.13,432.84,"yourself a book wow that was an awesome
when wasn't it who the hell are you body",Clean
432.84,432.84999999999997,when wasn't it who the hell are you body,Clean
432.84999999999997,435.12,"when wasn't it who the hell are you body
shop questioning strangers yeah just let",Clean
435.12,435.13,shop questioning strangers yeah just let,Clean
435.13,440.33,"shop questioning strangers yeah just let
things happen Yolo",Clean
440.33,440.34,,Clean
440.34,442.89,no but seriously where the hell did you,Clean
442.89,442.9,no but seriously where the hell did you,Clean
442.9,448.08,"no but seriously where the hell did you
come from you've killed my surskit right",Clean
448.08,448.09,come from you've killed my surskit right,Clean
448.09,449.4,"come from you've killed my surskit right
I did bitch didn't stand a chance",Hate
449.4,449.40999999999997,I did bitch didn't stand a chance,Hate
449.40999999999997,451.16999999999996,"I did bitch didn't stand a chance
against wind of knives you shouldn't",Hate
451.16999999999996,451.18,against wind of knives you shouldn't,Clean
451.18,453.45,"against wind of knives you shouldn't
have done that well I did and I'll do it",Clean
453.45,453.46,have done that well I did and I'll do it,Clean
453.46,455.37,"have done that well I did and I'll do it
again so show me the money and show me",Clean
455.37,455.38,again so show me the money and show me,Clean
455.38,457.38,"again so show me the money and show me
the bad cuz I'm gonna win today looks",Clean
457.38,457.39,the bad cuz I'm gonna win today looks,Clean
457.39,459.14,"the bad cuz I'm gonna win today looks
like the ritual will happen after all",Clean
459.14,459.15,like the ritual will happen after all,Clean
459.15,467.81,"like the ritual will happen after all
the what it's time to eat vivillon whoa",Clean
467.81,467.82,the what it's time to eat vivillon whoa,Clean
467.82,471.78,"the what it's time to eat vivillon whoa
it's like a flying bug of some sort I've",Clean
471.78,471.78999999999996,it's like a flying bug of some sort I've,Clean
471.78999999999996,474.21,"it's like a flying bug of some sort I've
never seen such a thing in my life what",Clean
474.21,474.21999999999997,never seen such a thing in my life what,Clean
474.21999999999997,475.7,"never seen such a thing in my life what
is it",Clean
475.7,475.71,is it,Clean
475.71,487.07899999999995,"is it
the billion the corruption later than",Clean
487.07899999999995,487.089,the billion the corruption later than,Clean
487.089,489.679,"the billion the corruption later than
that live in a key time is that also a",Clean
489.679,489.68899999999996,that live in a key time is that also a,Clean
489.68899999999996,501.39,"that live in a key time is that also a
fiseb PRT happens as Mexicans well it",Clean
501.39,501.4,fiseb PRT happens as Mexicans well it,Clean
501.4,502.709,"fiseb PRT happens as Mexicans well it
looks like you're giving me that tip",Clean
502.709,502.719,looks like you're giving me that tip,Clean
502.719,505.769,"looks like you're giving me that tip
after all we'll hold on slow it down",Clean
505.769,505.779,after all we'll hold on slow it down,Clean
505.779,510.659,"after all we'll hold on slow it down
just happened you lost I did you did to",Clean
510.659,510.669,just happened you lost I did you did to,Clean
510.669,517.74,"just happened you lost I did you did to
you to me oh yeah huh thanks for de",Clean
517.74,517.75,you to me oh yeah huh thanks for de,Clean
517.75,519.959,"you to me oh yeah huh thanks for de
money but but but but I was gonna buy",Clean
519.959,519.9689999999999,money but but but but I was gonna buy,Clean
519.9689999999999,521.25,"money but but but but I was gonna buy
more juice with the money",Clean
521.25,521.26,more juice with the money,Clean
521.26,523.259,"more juice with the money
are you sure I lost it's not a matter of",Clean
523.259,523.269,are you sure I lost it's not a matter of,Clean
523.269,525.2099999999999,"are you sure I lost it's not a matter of
winning or losing cuz regardless of who",Clean
525.2099999999999,525.22,winning or losing cuz regardless of who,Clean
525.22,527.31,"winning or losing cuz regardless of who
won that was still a good battle you it",Clean
527.31,527.3199999999999,won that was still a good battle you it,Clean
527.3199999999999,536.329,"won that was still a good battle you it
wasn't oh wait but you forgot your bag",Clean
536.329,536.3389999999999,,Clean
536.3389999999999,538.68,meanwhile at the Pokemon Center,Clean
538.68,538.6899999999999,meanwhile at the Pokemon Center,Clean
538.6899999999999,542.7099999999999,"meanwhile at the Pokemon Center
hmm yes you okay over there",Clean
542.7099999999999,542.72,hmm yes you okay over there,Clean
542.72,547.9499999999999,"hmm yes you okay over there
um do you want some food",Clean
547.9499999999999,547.9599999999999,,Clean
547.9599999999999,551.79,well good good we don't have any unless,Clean
551.79,551.8,well good good we don't have any unless,Clean
551.8,553.77,"well good good we don't have any unless
you wanted to watch the denna eat I am",Clean
553.77,553.78,you wanted to watch the denna eat I am,Clean
553.78,555.78,"you wanted to watch the denna eat I am
adorable and I deserve my own show I",Clean
555.78,555.79,adorable and I deserve my own show I,Clean
555.79,560.5799999999999,"adorable and I deserve my own show I
lost the game but how what the hell",Clean
560.5799999999999,560.5899999999999,lost the game but how what the hell,Clean
560.5899999999999,562.11,"lost the game but how what the hell
happened when she sent out that thing",Clean
562.11,562.12,happened when she sent out that thing,Clean
562.12,565.8,"happened when she sent out that thing
that strange flying bug with wings that",Clean
565.8,565.81,that strange flying bug with wings that,Clean
565.81,568.5,"that strange flying bug with wings that
I've never seen before she was cheating",Clean
568.5,568.51,I've never seen before she was cheating,Clean
568.51,572.55,"I've never seen before she was cheating
a bull I mean uh you forgot your bag at",Clean
572.55,572.56,a bull I mean uh you forgot your bag at,Clean
572.56,574.41,"a bull I mean uh you forgot your bag at
the gym and I took the liberty of Audis",Clean
574.41,574.42,the gym and I took the liberty of Audis,Clean
574.42,576.78,"the gym and I took the liberty of Audis
it's her oh crap let's tell us your",Clean
576.78,576.79,it's her oh crap let's tell us your,Clean
576.79,578.9399999999999,"it's her oh crap let's tell us your
character right now look now's not a",Clean
578.9399999999999,578.9499999999999,character right now look now's not a,Clean
578.9499999999999,580.68,"character right now look now's not a
good time I have to tell ash something",Clean
580.68,580.6899999999999,good time I have to tell ash something,Clean
580.6899999999999,582.39,"good time I have to tell ash something
important tell us your name damn it oh",Clean
582.39,582.4,important tell us your name damn it oh,Clean
582.4,584.9399999999999,"important tell us your name damn it oh
my god okay my name is Serena Jesus go",Clean
584.9399999999999,584.9499999999999,my god okay my name is Serena Jesus go,Clean
584.9499999999999,586.05,"my god okay my name is Serena Jesus go
Serena",Clean
586.05,586.06,Serena,Clean
586.06,591.06,"Serena
yeah like slurry the Williams yes I'm a",Clean
591.06,591.0699999999999,yeah like slurry the Williams yes I'm a,Clean
591.0699999999999,593.67,"yeah like slurry the Williams yes I'm a
black tennis player you nailed it",Clean
593.67,593.68,black tennis player you nailed it,Clean
593.68,597.42,"black tennis player you nailed it
my name is Bonnie I'm camonte hiya how",Clean
597.42,597.43,my name is Bonnie I'm camonte hiya how,Clean
597.43,600.5899999999999,"my name is Bonnie I'm camonte hiya how
did you know my name I'm Serena Williams",Clean
600.5899999999999,600.6,did you know my name I'm Serena Williams,Clean
600.6,603.42,"did you know my name I'm Serena Williams
holy Sh on a whole-wheat sandwich and",Clean
603.42,603.43,holy Sh on a whole-wheat sandwich and,Clean
603.43,606.0899999999999,"holy Sh on a whole-wheat sandwich and
call it poke pork an actual ding sound",Clean
606.0899999999999,606.1,call it poke pork an actual ding sound,Clean
606.1,609.2099999999999,"call it poke pork an actual ding sound
effect you know what that means",Clean
609.2099999999999,609.22,effect you know what that means,Clean
609.22,612.42,"effect you know what that means
actually no i'm i dont means my pokemon",Clean
612.42,612.43,actually no i'm i dont means my pokemon,Clean
612.43,615.3299999999999,"actually no i'm i dont means my pokemon
are done cooking Oh your Pokemon are",Clean
615.3299999999999,615.3399999999999,are done cooking Oh your Pokemon are,Clean
615.3399999999999,617.22,"are done cooking Oh your Pokemon are
done healing hell yeah",Clean
617.22,617.23,done healing hell yeah,Clean
617.23,619.3199999999999,"done healing hell yeah
nice and fresh I can't wait to eat I",Clean
619.3199999999999,619.3299999999999,nice and fresh I can't wait to eat I,Clean
619.3299999999999,622.26,"nice and fresh I can't wait to eat I
mean train my Pokemon right Clemont you",Clean
622.26,622.27,mean train my Pokemon right Clemont you,Clean
622.27,624.8399999999999,"mean train my Pokemon right Clemont you
know what I'm saying god dammit ash I",Clean
624.8399999999999,624.85,know what I'm saying god dammit ash I,Clean
624.85,626.55,"know what I'm saying god dammit ash I
offered you food earlier and you didn't",Clean
626.55,626.56,offered you food earlier and you didn't,Clean
626.56,627.24,"offered you food earlier and you didn't
want any",Clean
627.24,627.25,want any,Clean
627.25,628.7099999999999,"want any
now we've resorted to eating your",Clean
628.7099999999999,628.72,now we've resorted to eating your,Clean
628.72,631.3199999999999,"now we've resorted to eating your
longtime friendship partners it makes me",Clean
631.3199999999999,631.3299999999999,longtime friendship partners it makes me,Clean
631.3299999999999,635.0699999999999,"longtime friendship partners it makes me
so yeah Nurse Joy I thought I saw you on",Clean
635.0699999999999,635.0799999999999,so yeah Nurse Joy I thought I saw you on,Clean
635.0799999999999,637.23,"so yeah Nurse Joy I thought I saw you on
route 4 earlier how did you get here so",Clean
637.23,637.24,route 4 earlier how did you get here so,Clean
637.24,637.81,"route 4 earlier how did you get here so
fast",Clean
637.81,637.8199999999999,fast,Clean
637.8199999999999,645.9499999999999,"fast
[Music]",Clean
645.9499999999999,645.9599999999999,,Clean
645.9599999999999,651.8299999999999,multiple choice multiple choice joke,Clean
651.8299999999999,651.8399999999999,multiple choice multiple choice joke,Clean
651.8399999999999,655.8,"multiple choice multiple choice joke
multiple choice ash you've disrespected",Clean
655.8,655.81,multiple choice ash you've disrespected,Clean
655.81,658.11,"multiple choice ash you've disrespected
and completely forgotten about me for",Clean
658.11,658.12,and completely forgotten about me for,Clean
658.12,660.0899999999999,"and completely forgotten about me for
the last time I'm getting my revenge",Clean
660.0899999999999,660.1,the last time I'm getting my revenge,Clean
660.1,662.88,"the last time I'm getting my revenge
only this time it's personal",Clean
662.88,662.89,only this time it's personal,Clean
662.89,665.1899999999999,"only this time it's personal
bitch you're asking for a hurtin I have",Hate
665.1899999999999,665.1999999999999,bitch you're asking for a hurtin I have,Hate
665.1999999999999,667.41,"bitch you're asking for a hurtin I have
all ground-types so your Pikachu and",Hate
667.41,667.42,all ground-types so your Pikachu and,Clean
